EC Number,Metabolite,Concentration,Km,Abbreviation,[Met]/Km,Organism
1.1.1.22,NAD+,5.02E-4,1.97E-4,nad,2.55E+0,Homo sapiens
1.1.1.22,UDP,1.33E-4,1.70E-5,udp,7.84E+0,Homo sapiens
1.1.1.239,NAD+,5.02E-4,1.00E-4,nad,5.02E+0,Homo sapiens
1.1.1.27,pyruvate,5.88E-3,1.09E-4,pyr,5.38E+1,Homo sapiens
1.1.1.284,glutathione,3.09E-3,8.05E-6,gthrd,3.83E+2,Homo sapiens
1.1.1.284,NAD+,5.02E-4,7.08E-6,nad,7.09E+1,Homo sapiens
1.1.1.284,NADH,7.50E-5,2.74E-6,nadh,2.74E+1,Homo sapiens
1.1.1.284,NADP+,2.84E-5,2.33E-3,nadp,1.22E-2,Homo sapiens
1.1.1.284,NADPH,6.54E-5,4.50E-5,nadph,1.45E+0,Homo sapiens
1.1.1.30,NAD+,5.02E-4,1.78E-4,nad,2.82E+0,Homo sapiens
1.1.1.300,NAD+,5.02E-4,7.26E-2,nad,6.92E-3,Homo sapiens
1.1.1.300,NADH,7.50E-5,1.43E-2,nadh,5.25E-3,Homo sapiens
1.1.1.300,NADP+,2.84E-5,3.97E-6,nadp,7.15E+0,Homo sapiens
1.1.1.300,NADPH,6.54E-5,1.74E-6,nadph,3.76E+1,Homo sapiens
1.1.1.31,NAD+,5.02E-4,5.00E-4,nad,1.00E+0,Homo sapiens
1.1.1.315,NAD+,5.02E-4,2.00E-6,nad,2.51E+2,Homo sapiens
1.1.1.315,NADP+,2.84E-5,6.90E-7,nadp,4.12E+1,Homo sapiens
1.1.1.34,NADPH,6.54E-5,2.10E-5,nadph,3.11E+0,Homo sapiens
1.1.1.35,NAD+,5.02E-4,1.22E-5,nad,4.11E+1,Homo sapiens
1.1.1.35,NADH,7.50E-5,8.47E-6,nadh,8.86E+0,Homo sapiens
1.1.1.40,NAD+,5.02E-4,1.16E-2,nad,4.33E-2,Homo sapiens
1.1.1.40,pyruvate,5.88E-3,5.86E-3,pyr,1.00E+0,Homo sapiens
1.1.1.40,malate,1.39E-3,3.47E-4,mal-L,4.00E+0,Homo sapiens
1.1.1.40,NADP+,2.84E-5,4.24E-6,nadp,6.70E+0,Homo sapiens
1.1.1.40,NADPH,6.54E-5,3.26E-6,nadph,2.01E+1,Homo sapiens
1.1.1.41,NAD+,5.02E-4,7.04E-5,nad,7.13E+0,Homo sapiens
1.1.1.41,isocitrate,3.21E-5,1.24E-3,icit,2.58E-2,Homo sapiens
1.1.1.42,isocitrate,3.21E-5,4.94E-6,icit,6.50E+0,Mus musculus
1.1.1.42,NADP+,2.84E-5,4.55E-6,nadp,6.24E+0,Mus musculus
1.1.1.44,6-phospho-D-gluconate,1.65E-5,2.06E-5,6pgc,8.04E-1,Homo sapiens
1.1.1.44,NADP+,2.84E-5,3.00E-5,nadp,9.47E-1,Homo sapiens
1.1.1.49,glucose-6-phosphate,6.75E-4,1.28E-4,g6p,5.28E+0,Homo sapiens
1.1.1.49,NADP+,2.84E-5,2.39E-5,nadp,1.19E+0,Homo sapiens
1.1.1.49,NADPH,6.54E-5,1.45E-5,nadph,4.51E+0,Homo sapiens
1.1.1.50,NADP+,2.84E-5,2.30E-7,nadp,1.24E+2,Homo sapiens
1.1.1.50,NADPH,6.54E-5,9.70E-7,nadph,6.74E+1,Mus musculus
1.1.1.51,NAD+,5.02E-4,1.36E-4,nad,3.70E+0,Homo sapiens
1.1.1.51,NADH,7.50E-5,5.45E-6,nadh,1.38E+1,Homo sapiens
1.1.1.51,NADP+,2.84E-5,9.60E-3,nadp,2.96E-3,Homo sapiens
1.1.1.62,NADPH,6.54E-5,3.00E-6,nadph,2.18E+1,Homo sapiens
1.1.1.71,NAD+,5.02E-4,1.06E+0,nad,4.74E-4,Homo sapiens
1.1.1.71,NADH,7.50E-5,1.20E+0,nadh,6.25E-5,Homo sapiens
1.1.1.71,NADP+,2.84E-5,6.50E-4,nadp,4.37E-2,Homo sapiens
1.1.1.71,NADPH,6.54E-5,3.20E-4,nadph,2.04E-1,Homo sapiens
1.1.1.79,NADH,7.50E-5,2.42E-3,nadh,3.10E-2,Homo sapiens
1.1.1.79,NADPH,6.54E-5,1.10E-5,nadph,5.95E+0,Homo sapiens
1.1.1.8,NAD+,5.02E-4,3.60E-5,nad,1.39E+1,Homo sapiens
1.1.1.8,NADH,7.50E-5,5.00E-6,nadh,1.50E+1,Homo sapiens
1.1.1.8,dihydroxyacetonephosphate,1.63E-3,2.60E-5,dhap,6.25E+1,Homo sapiens
1.1.1.87,NAD+,5.02E-4,6.00E-5,nad,8.37E+0,Homo sapiens
1.1.1.87,NADH,7.50E-5,1.10E-4,nadh,6.82E-1,Homo sapiens
1.1.1.87,NADP+,2.84E-5,2.70E-5,nadp,1.05E+0,Homo sapiens
1.1.1.87,NADPH,6.54E-5,1.50E-5,nadph,4.36E+0,Homo sapiens
1.1.99.24,a-ketoglutarate,7.97E-4,7.70E-5,akg,1.03E+1,Mus musculus
1.10.99.2,NADH,7.50E-5,2.52E-4,nadh,2.98E-1,Homo sapiens
1.11.1.9,glutathione,3.09E-3,1.89E-3,gthrd,1.63E+0,Homo sapiens
1.13.11.11,tryptophan,1.80E-4,1.02E-3,trp-L,1.77E-1,Mus musculus
1.13.11.20,cysteine,8.40E-5,2.67E-3,cys-L,3.14E-2,Mus musculus
1.13.11.27,phenylpyruvate,1.77E-3,5.00E-4,phpyr,3.54E+0,Homo sapiens
1.13.11.52,tryptophan,1.80E-4,9.71E-5,trp-L,1.86E+0,Mus musculus
1.14.11.1,a-ketoglutarate,7.97E-4,6.30E-5,akg,1.26E+1,Mus musculus
1.14.11.16,a-ketoglutarate,7.97E-4,2.50E-5,akg,3.19E+1,Homo sapiens
1.14.11.18,a-ketoglutarate,7.97E-4,4.90E-5,akg,1.63E+1,Homo sapiens
1.14.11.2,a-ketoglutarate,7.97E-4,1.20E-5,akg,6.64E+1,Mus musculus
1.14.11.29,a-ketoglutarate,7.97E-4,5.74E-5,akg,1.39E+1,Homo sapiens
1.14.11.30,a-ketoglutarate,7.97E-4,1.58E-5,akg,5.04E+1,Homo sapiens
1.14.11.4,a-ketoglutarate,7.97E-4,7.40E-5,akg,1.08E+1,Homo sapiens
1.14.11.7,a-ketoglutarate,7.97E-4,8.00E-5,akg,9.96E+0,Homo sapiens
1.14.12.17,NADPH,6.54E-5,2.00E-6,nadph,3.27E+1,Homo sapiens
1.14.13.132,FAD,5.60E-6,3.00E-4,fad,1.87E-2,Homo sapiens
1.14.13.30,NADPH,6.54E-5,8.94E-7,nadph,7.31E+1,Homo sapiens
1.14.13.39,arginine,2.55E-4,3.50E-6,arg-L,7.31E+1,Mus musculus
1.14.13.8,methionine,6.39E-4,8.06E-3,met-L,7.93E-2,Homo sapiens
1.14.13.8,NADPH,6.54E-5,1.15E-5,nadph,5.69E+0,Homo sapiens
1.14.16.1,tryptophan,1.80E-4,4.80E-5,trp-L,3.76E+0,Homo sapiens
1.14.16.1,methionine,6.39E-4,3.10E-3,met-L,2.06E-1,Homo sapiens
1.14.16.1,phenylalanine,8.40E-4,1.00E-4,phe-L,8.40E+0,Mus musculus
1.14.16.2,phenylalanine,8.40E-4,8.50E-5,phe-L,9.89E+0,Homo sapiens
1.14.16.2,tyrosine,9.38E-4,4.85E-5,tyr-L,1.93E+1,Homo sapiens
1.14.16.4,tryptophan,1.80E-4,2.87E-5,trp-L,6.28E+0,Mus musculus
1.14.16.4,phenylalanine,8.40E-4,1.00E-4,phe-L,8.40E+0,Mus musculus
1.14.18.1,tyrosine,9.38E-4,1.66E-4,tyr-L,5.65E+0,Mus musculus
1.16.1.8,NADPH,6.54E-5,2.76E-6,nadph,2.37E+1,Homo sapiens
1.17.1.4,NAD+,5.02E-4,2.52E-6,nad,1.99E+2,Homo sapiens
1.2.1.12,glyceraldehyde-3-phosphate,1.41E-4,1.15E-4,g3p,1.22E+0,Homo sapiens
1.2.1.12,NAD+,5.02E-4,3.58E-5,nad,1.40E+1,Homo sapiens
1.2.1.12,NADH,7.50E-5,1.00E-5,nadh,7.50E+0,Homo sapiens
1.2.1.12,"1,3-bisphosphoglycerate",2.24E-6,1.29E-5,13dpg,1.73E-1,Homo sapiens
1.2.1.24,NAD+,5.02E-4,2.27E-4,nad,2.21E+0,Mus musculus
1.2.1.3,NAD+,5.02E-4,1.27E-5,nad,3.95E+1,Homo sapiens
1.2.1.31,NAD+,5.02E-4,4.54E-4,nad,1.11E+0,Homo sapiens
1.2.1.36,NAD+,5.02E-4,5.95E-5,nad,8.44E+0,Mus musculus
1.2.1.36,NADH,7.50E-5,6.00E-3,nadh,1.25E-2,Homo sapiens
1.2.1.36,NADPH,6.54E-5,1.50E-6,nadph,4.36E+1,Homo sapiens
1.2.1.46,NAD+,5.02E-4,3.30E-6,nad,1.52E+2,Homo sapiens
1.2.1.46,NADH,7.50E-5,2.00E-6,nadh,3.75E+1,Homo sapiens
1.2.1.48,NAD+,5.02E-4,2.24E-4,nad,2.24E+0,Homo sapiens
1.2.1.48,NADP+,2.84E-5,8.70E-3,nadp,3.27E-3,Homo sapiens
1.2.1.5,NAD+,5.02E-4,6.00E-5,nad,8.37E+0,Mus musculus
1.2.1.5,NADP+,2.84E-5,1.40E-3,nadp,2.03E-2,Mus musculus
1.2.1.8,NAD+,5.02E-4,3.50E-5,nad,1.43E+1,Homo sapiens
1.2.4.1,pyruvate,5.88E-3,2.79E-5,pyr,2.11E+2,Homo sapiens
1.2.4.2,a-ketoglutarate,7.97E-4,4.00E-3,akg,1.99E-1,Homo sapiens
1.3.1.2,NADPH,6.54E-5,1.11E-5,nadph,5.89E+0,Homo sapiens
1.3.1.22,NADPH,6.54E-5,2.00E-5,nadph,3.27E+0,Homo sapiens
1.3.1.34,NADPH,6.54E-5,2.20E-5,nadph,2.97E+0,Homo sapiens
1.3.1.38,NADPH,6.54E-5,1.06E-4,nadph,6.17E-1,Homo sapiens
1.3.1.48,NADH,7.50E-5,3.83E-5,nadh,1.96E+0,Homo sapiens
1.3.5.2,dihydroorotate,7.35E-4,6.00E-6,dhor-S,1.22E+2,Homo sapiens
1.4.1.3,NAD+,5.02E-4,6.68E-4,nad,7.52E-1,Homo sapiens
1.4.1.3,NADH,7.50E-5,8.30E-5,nadh,9.05E-1,Homo sapiens
1.4.1.3,a-ketoglutarate,7.97E-4,1.39E-3,akg,5.72E-1,Homo sapiens
1.4.1.3,glutamate,6.38E-2,4.91E-3,glu-L,1.30E+1,Homo sapiens
1.4.3.3,glycine,3.71E-3,1.59E-1,gly,2.34E-2,Homo sapiens
1.5.1.15,NAD+,5.02E-4,1.11E-4,nad,4.52E+0,Mus musculus
1.5.1.15,NADP+,2.84E-5,3.52E-4,nadp,8.07E-2,Homo sapiens
1.5.1.2,NAD+,5.02E-4,1.51E-4,nad,3.32E+0,Homo sapiens
1.5.1.2,NADP+,2.84E-5,1.96E-3,nadp,1.45E-2,Homo sapiens
1.5.1.20,NADPH,6.54E-5,2.26E-5,nadph,2.90E+0,Homo sapiens
1.5.1.3,NADPH,6.54E-5,5.43E-6,nadph,1.21E+1,Mus musculus
1.5.1.30,FAD,5.60E-6,1.25E-4,fad,4.48E-2,Homo sapiens
1.5.1.30,NADPH,6.54E-5,2.00E-6,nadph,3.27E+1,Homo sapiens
1.5.1.34,NADH,7.50E-5,2.04E-5,nadh,3.67E+0,Homo sapiens
1.5.1.34,NADPH,6.54E-5,1.35E-4,nadph,4.85E-1,Homo sapiens
1.5.1.5,NAD+,5.02E-4,5.07E-4,nad,9.90E-1,Homo sapiens
1.5.1.5,NADP+,2.84E-5,8.00E-6,nadp,3.55E+0,Mus musculus
1.5.1.8,a-ketoglutarate,7.97E-4,1.00E-3,akg,7.97E-1,Homo sapiens
1.5.1.8,lysine,5.06E-4,1.50E-3,lys-L,3.37E-1,Homo sapiens
1.5.1.8,NADPH,6.54E-5,8.00E-5,nadph,8.17E-1,Homo sapiens
1.5.1.9,NAD+,5.02E-4,1.61E-4,nad,3.13E+0,Homo sapiens
1.6.2.2,NADH,7.50E-5,3.47E-6,nadh,2.17E+1,Homo sapiens
1.6.3.1,NADH,7.50E-5,1.00E-4,nadh,7.50E-1,Homo sapiens
1.6.3.1,NADPH,6.54E-5,3.46E-5,nadph,1.89E+0,Homo sapiens
1.6.5.2,NADH,7.50E-5,1.21E-4,nadh,6.18E-1,Mus musculus
1.6.5.2,NADPH,6.54E-5,8.67E-5,nadph,7.54E-1,Mus musculus
1.6.5.5,NADPH,6.54E-5,5.00E-6,nadph,1.31E+1,Homo sapiens
1.6.99.3,NADH,7.50E-5,2.90E-6,nadh,2.59E+1,Homo sapiens
1.7.1.7,GMP,1.81E-5,6.39E-6,gmp,2.83E+0,Homo sapiens
1.7.1.7,NADPH,6.54E-5,1.56E-5,nadph,4.18E+0,Homo sapiens
1.8.1.4,NAD+,5.02E-4,2.69E-4,nad,1.87E+0,Homo sapiens
1.8.1.4,NADH,7.50E-5,4.00E-5,nadh,1.88E+0,Homo sapiens
1.8.1.7,glutathione,3.09E-3,6.50E-5,gthrd,4.75E+1,Homo sapiens
1.8.1.7,NADH,7.50E-5,4.09E-4,nadh,1.83E-1,Homo sapiens
1.8.1.7,glutathione disulfide,1.80E-5,1.07E-4,gthox,1.68E-1,Mus musculus
1.8.1.7,NADPH,6.54E-5,5.90E-6,nadph,1.11E+1,Mus musculus
1.8.1.9,NADPH,6.54E-5,4.60E-4,nadph,1.42E-1,Homo sapiens
1.8.5.1,glutathione,3.09E-3,6.50E-3,gthrd,4.74E-1,Homo sapiens
1.8.98.2,ATP,4.67E-3,3.00E-5,atp,1.56E+2,Homo sapiens
1.8.98.2,glutathione,3.09E-3,1.80E-3,gthrd,1.71E+0,Homo sapiens
2.1.1.20,glycine,3.71E-3,1.22E-5,gly,3.04E+2,Homo sapiens
2.1.1.5,aspartate,1.49E-2,1.00E-2,asp-L,1.49E+0,Homo sapiens
2.1.2.1,serine,4.86E-3,1.50E-4,ser-L,3.24E+1,Mus musculus
2.1.4.1,glycine,3.71E-3,2.50E-3,gly,1.49E+0,Homo sapiens
2.1.4.1,arginine,2.55E-4,2.50E-3,arg-L,1.02E-1,Homo sapiens
2.2.1.1,xylulose-5-phosphate,2.99E-5,1.20E-4,xu5p-D,2.49E-1,Mus musculus
2.2.1.1,ribose-5-phosphate,2.84E-5,3.30E-4,r5p,8.60E-2,Mus musculus
2.2.1.1,fructose-6-phosphate,9.69E-5,1.54E-3,f6p,6.28E-2,Homo sapiens
2.2.1.1,erythrose-4-phosphate,1.03E-5,3.60E-4,e4p,2.85E-2,Homo sapiens
2.3.1.1,glutamate,6.38E-2,2.91E-3,glu-L,2.19E+1,Mus musculus
2.3.1.1,acetyl-CoA,2.88E-5,1.01E-3,accoa,2.85E-2,Mus musculus
2.3.1.13,glycine,3.71E-3,6.40E-3,gly,5.80E-1,Homo sapiens
2.3.1.13,alanine,6.98E-3,9.97E-1,ala-L,7.00E-3,Homo sapiens
2.3.1.17,aspartate,1.49E-2,9.00E-5,asp-L,1.66E+2,Mus musculus
2.3.1.17,acetyl-CoA,2.88E-5,1.08E-5,accoa,2.66E+0,Mus musculus
2.3.1.192,glutamine,1.72E-2,1.20E-1,gln-L,1.44E-1,Homo sapiens
2.3.1.4,acetyl-CoA,2.88E-5,1.20E-4,accoa,2.40E-1,Mus musculus
2.3.1.45,acetyl-CoA,2.88E-5,4.30E-6,accoa,6.68E+0,Homo sapiens
2.3.1.48,acetyl-CoA,2.88E-5,2.36E-6,accoa,1.22E+1,Homo sapiens
2.3.1.50,serine,4.86E-3,7.11E-4,ser-L,6.83E+0,Homo sapiens
2.3.1.57,acetyl-CoA,2.88E-5,3.80E-6,accoa,7.57E+0,Homo sapiens
2.3.1.6,acetyl-CoA,2.88E-5,5.50E-5,accoa,5.23E-1,Homo sapiens
2.3.1.65,glycine,3.71E-3,4.00E-3,gly,9.28E-1,Homo sapiens
2.3.1.67,acetyl-CoA,2.88E-5,8.24E-5,accoa,3.49E-1,Mus musculus
2.3.1.7,acetyl-CoA,2.88E-5,2.10E-5,accoa,1.37E+0,Mus musculus
2.3.1.71,glycine,3.71E-3,6.40E-3,gly,5.80E-1,Homo sapiens
2.3.1.71,alanine,6.98E-3,9.97E-1,ala-L,7.00E-3,Homo sapiens
2.3.1.78,acetyl-CoA,2.88E-5,1.16E-5,accoa,2.48E+0,Homo sapiens
2.3.1.80,acetyl-CoA,2.88E-5,2.30E-5,accoa,1.25E+0,Homo sapiens
2.3.1.85,malonyl-CoA,4.95E-6,1.10E-5,malcoa,4.51E-1,Homo sapiens
2.3.1.85,acetyl-CoA,2.88E-5,8.00E-6,accoa,3.60E+0,Homo sapiens
2.3.1.85,NADPH,6.54E-5,1.12E-5,nadph,5.85E+0,Homo sapiens
2.3.1.87,acetyl-CoA,2.88E-5,5.40E-4,accoa,5.33E-2,Homo sapiens
2.3.1.88,acetyl-CoA,2.88E-5,5.00E-6,accoa,5.75E+0,Homo sapiens
2.3.1.9,coenzyme-A,4.04E-3,2.80E-5,coa,1.44E+2,Homo sapiens
2.3.1.97,histidine,4.10E-4,1.95E-4,his-L,2.10E+0,Homo sapiens
2.3.2.2,glutathione,3.09E-3,6.70E-4,gthrd,4.61E+0,Mus musculus
2.3.2.2,glutathione disulfide,1.80E-5,1.85E-5,gthox,9.74E-1,Homo sapiens
2.3.3.10,acetyl-CoA,2.88E-5,6.06E-5,accoa,4.74E-1,Homo sapiens
2.3.3.8,ATP,4.67E-3,6.14E-4,atp,7.61E+0,Homo sapiens
2.3.3.8,coenzyme-A,4.04E-3,3.55E-5,coa,1.14E+2,Homo sapiens
2.3.3.8,citrate,5.84E-4,1.83E-4,cit,3.19E+0,Homo sapiens
2.4.1.102,UDP-N-acetyl-glucosamine,8.97E-3,1.10E-3,uacgam,8.15E+0,Mus musculus
2.4.1.11,UDP-glucose,1.53E-3,6.72E-5,udpg ,2.27E+1,Homo sapiens
2.4.1.117,UDP-glucose,1.53E-3,2.22E-7,udpg ,6.86E+3,Homo sapiens
2.4.1.133,UDP-glucose,1.53E-3,2.80E-4,udpg ,5.45E+0,Homo sapiens
2.4.1.135,UDP-glucuronate,9.75E-5,2.50E-7,udpglcur,3.90E+2,Mus musculus
2.4.1.144,UDP-N-acetyl-glucosamine,8.97E-3,5.65E-3,uacgam,1.59E+0,Homo sapiens
2.4.1.145,UDP-N-acetyl-glucosamine,8.97E-3,2.43E-4,uacgam,3.69E+1,Homo sapiens
2.4.1.149,UDP-N-acetyl-glucosamine,8.97E-3,1.50E-4,uacgam,5.96E+1,Homo sapiens
2.4.1.155,UDP-glucose,1.53E-3,2.90E-3,udpg ,5.26E-1,Homo sapiens
2.4.1.155,UDP-N-acetyl-glucosamine,8.97E-3,3.12E-3,uacgam,2.87E+0,Homo sapiens
2.4.1.17,UDP-glucuronate,9.75E-5,9.29E-5,udpglcur,1.05E+0,Homo sapiens
2.4.1.226,UDP-glucuronate,9.75E-5,1.47E-4,udpglcur,6.63E-1,Homo sapiens
2.4.1.255,UDP-N-acetyl-glucosamine,8.97E-3,8.32E-6,uacgam,1.08E+3,Homo sapiens
2.4.1.37,UDP-glucose,1.53E-3,1.69E-4,udpg ,9.02E+0,Homo sapiens
2.4.1.38,UDP-glucose,1.53E-3,2.80E-4,udpg ,5.45E+0,Homo sapiens
2.4.1.38,UDP-glucuronate,9.75E-5,4.00E-3,udpglcur,2.44E-2,Homo sapiens
2.4.1.40,UDP-N-acetyl-glucosamine,8.97E-3,2.42E-4,uacgam,3.71E+1,Homo sapiens
2.4.1.65,GMP,1.81E-5,6.00E-5,gmp,3.01E-1,Homo sapiens
2.4.1.65,GDP,3.02E-5,1.60E-5,gdp,1.89E+0,Homo sapiens
2.4.1.66,UDP-glucose,1.53E-3,2.14E-5,udpg ,7.11E+1,Homo sapiens
2.4.1.80,UDP-glucose,1.53E-3,7.38E-6,udpg ,2.07E+2,Homo sapiens
2.4.1.B7,UDP-glucose,1.53E-3,1.75E-6,udpg ,8.72E+2,Homo sapiens
2.4.1.B7,UDP-N-acetyl-glucosamine,8.97E-3,6.50E-5,uacgam,1.38E+2,Homo sapiens
2.4.2.1,inosine,1.33E-6,4.31E-5,ins,3.08E-2,Mus musculus
2.4.2.1,guanosine,1.35E-6,2.94E-5,gsn,4.60E-2,Homo sapiens
2.4.2.12,ADP,5.69E-4,4.40E-4,adp,1.29E+0,Homo sapiens
2.4.2.12,ATP,4.67E-3,4.03E-3,atp,1.16E+0,Homo sapiens
2.4.2.14,glutamine,1.72E-2,1.36E-3,gln-L,1.27E+1,Homo sapiens
2.4.2.3,thymidine,2.64E-6,1.48E-4,thymd,1.78E-2,Mus musculus
2.4.2.31,NAD+,5.02E-4,1.29E-4,nad,3.88E+0,Mus musculus
2.4.2.4,thymidine,2.64E-6,9.45E-4,thymd,2.79E-3,Mus musculus
2.4.2.8,IMP,1.23E-5,3.60E-6,imp,3.42E+0,Homo sapiens
2.5.1.17,ATP,4.67E-3,6.90E-6,atp,6.77E+2,Homo sapiens
2.5.1.18,glutathione,3.09E-3,4.55E-4,gthrd,6.78E+0,Mus musculus
2.5.1.46,NAD+,5.02E-4,4.80E-6,nad,1.05E+2,Homo sapiens
2.5.1.6,ATP,4.67E-3,3.10E-2,atp,1.51E-1,Homo sapiens
2.5.1.6,methionine,6.39E-4,3.98E-5,met-L,1.61E+1,Homo sapiens
2.6.1.1,aspartate,1.49E-2,2.25E-2,asp-L,6.63E-1,Homo sapiens
2.6.1.1,a-ketoglutarate,7.97E-4,2.06E-3,akg,3.87E-1,Homo sapiens
2.6.1.13,a-ketoglutarate,7.97E-4,1.76E-3,akg,4.52E-1,Mus musculus
2.6.1.16,fructose-6-phosphate,9.69E-5,1.04E-3,f6p,9.32E-2,Homo sapiens
2.6.1.19,a-ketoglutarate,7.97E-4,1.30E-4,akg,6.13E+0,Mus musculus
2.6.1.2,alanine,6.98E-3,1.03E-2,ala-L,6.79E-1,Homo sapiens
2.6.1.2,a-ketoglutarate,7.97E-4,2.04E-4,akg,3.90E+0,Homo sapiens
2.6.1.2,glutamate,6.38E-2,3.22E-3,glu-L,1.98E+1,Homo sapiens
2.6.1.39,a-ketoglutarate,7.97E-4,1.88E-3,akg,4.25E-1,Homo sapiens
2.6.1.39,glutamate,6.38E-2,4.18E-3,glu-L,1.52E+1,Homo sapiens
2.6.1.4,glutamate,6.38E-2,2.00E-3,glu-L,3.19E+1,Homo sapiens
2.6.1.42,pyruvate,5.88E-3,3.07E-2,pyr,1.91E-1,Homo sapiens
2.6.1.42,valine,1.51E-3,9.11E-3,val-L,1.66E-1,Homo sapiens
2.6.1.42,a-ketoglutarate,7.97E-4,2.78E-3,akg,2.87E-1,Homo sapiens
2.6.1.42,glutamate,6.38E-2,1.39E-2,glu-L,4.60E+0,Homo sapiens
2.6.1.42,isoleucine,1.76E-3,2.59E-3,ile-L,6.80E-1,Homo sapiens
2.6.1.42,leucine,1.76E-3,4.72E-3,leu-L,3.72E-1,Homo sapiens
2.6.1.44,glycine,3.71E-3,2.20E-2,gly,1.69E-1,Homo sapiens
2.6.1.44,pyruvate,5.88E-3,2.10E-4,pyr,2.80E+1,Homo sapiens
2.6.1.44,alanine,6.98E-3,5.92E-3,ala-L,1.18E+0,Mus musculus
2.6.1.44,cysteine,8.40E-5,1.00E-3,cys-L,8.40E-2,Homo sapiens
2.6.1.5,a-ketoglutarate,7.97E-4,1.80E-3,akg,4.43E-1,Mus musculus
2.6.1.5,tyrosine,9.38E-4,1.80E-3,tyr-L,5.21E-1,Mus musculus
2.6.1.7,tryptophan,1.80E-4,7.10E-3,trp-L,2.54E-2,Mus musculus
2.6.1.7,pyruvate,5.88E-3,9.38E-3,pyr,6.26E-1,Mus musculus
2.6.1.7,cysteine,8.40E-5,7.00E-4,cys-L,1.20E-1,Mus musculus
2.6.1.7,oxaloacetate,2.01E-6,2.10E-3,oaa,9.55E-4,Mus musculus
2.6.1.7,asparagine,2.15E-4,1.40E-3,asn-L,1.54E-1,Mus musculus
2.6.1.7,glutamine,1.72E-2,7.00E-4,gln-L,2.46E+1,Mus musculus
2.6.1.7,methionine,6.39E-4,9.00E-4,met-L,7.10E-1,Mus musculus
2.6.1.7,a-ketoglutarate,7.97E-4,4.41E-3,akg,1.81E-1,Mus musculus
2.6.1.7,leucine,1.76E-3,7.60E-3,leu-L,2.31E-1,Homo sapiens
2.6.1.7,histidine,4.10E-4,7.00E-4,his-L,5.86E-1,Mus musculus
2.6.1.7,phenylalanine,8.40E-4,1.10E-3,phe-L,7.64E-1,Mus musculus
